"","id","original_title","title","original_language","overview","tagline","release_date","poster_path","popularity","vote_count","vote_average","budget","revenue","runtime","status","adult","backdrop_path","genre_names","collection","collection_name"
"465",588,"Silent Hill","Silent Hill","en","In search for answers, a mother travels to the enigmatic town of Silent Hill when her daughter begins to suffer recurring nightmares related to the place. It doesn't take long for her to discover its home to beings as equally haunting as the town itself.","Enjoy your stay..",2006-04-21,"/r0bEDWO2w4a43K2xTNSF284qOsc.jpg",35.639,3519,6.5,5e+07,100605135,125,"Released",FALSE,"/29BCwmpV9HQUekAGlJLplkslRRf.jpg","Horror, Mystery",64748,"Silent Hill Collection"
"466",345911,"Lights Out","Lights Out","en","Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.","You were right to be afraid of the dark.",2016-07-21,"/8BnElzAQQpp7ZgdJJiAe1diomr4.jpg",35.639,3384,6.3,4900000,148868835,81,"Released",FALSE,"/kNeKcjC89AN60IFmtStCNwiewTY.jpg","Horror, Mystery, Thriller",773967,"Lights Out Collection"
"467",400136,"バイオハザード ヴェンデッタ","Resident Evil: Vendetta","ja","BSAA Chris Redfield enlists the help of government agent Leon S. Kennedy and Professor Rebecca Chambers from Alexander Institute of Biotechnology to stop a death merchant with a vengeance from spreading a deadly virus in New York.",NA,2017-05-27,"/88qfHWhlOBYXp69277QFhdPYnWf.jpg",35.635,780,6.9,0,0,97,"Released",FALSE,"/bcWjiU1TywC8fYlkDK4MpQ9iEMF.jpg","Action, Adventure, Animation, Horror, Mystery, Science Fiction",133352,"Resident Evil: Biohazard Collection"
"468",19288,"Leprechaun: Back 2 tha Hood","Leprechaun: Back 2 tha Hood","en","When Emily Woodrow and her friends happen on a treasure chest full of gold coins, they fail to to heed the warnings of a wise old psychic who had foretold that they would encounter trouble with a very nasty and protective Leprechaun.","Evil has a whole new rap!",2003-12-30,"/uBXtcz92oigWaWnFDyS8j5tMAc1.jpg",35.458,141,5.2,0,0,90,"Released",FALSE,"/3wLPGWYSix2Rbz4QUoAiaQe08wE.jpg","Comedy, Horror",19285,"Leprechaun Collection"
"469",440021,"Happy Death Day","Happy Death Day","en","Caught in a bizarre and terrifying time warp, college student Tree finds herself repeatedly reliving the day of her murder, ultimately realizing that she must identify the killer and the reason for her death before her chances of survival run out.","Get up. Live your day. Get killed. Again.",2017-10-12,"/cTaEIUYTt52ooq9quVbAQ7NpGwo.jpg",35.43,5369,6.6,4800000,125479266,97,"Released",FALSE,"/9XSEL3EMC2D8k4UcYBn8etgRxPg.jpg","Comedy, Horror, Mystery",526380,"Happy Death Day Collection"
"47",697799,"WarHunt","WarHunt","en","1945. A U.S. military cargo plane loses control and violently crashes behind enemy lines in the middle of the German black forest. Major Johnson sends a squad of his bravest soldiers on a rescue mission to retrieve the top-secret material the plane was carrying, led by Sergeants Brewer and Walsh. They soon discover hanged Nazi soldiers and other dead bodies bearing ancient, magical symbols. Suddenly their compasses fail, their perceptions twist and straying from the group leads to profound horrors as they are attacked by a powerful, supernatural force.","The war was just the beginning.",2022-01-21,"/9HFFwZOTBB7IPFmn9E0MXdWave3.jpg",215.537,60,5.1,0,0,93,"Released",FALSE,"/mTupUmnuwwAyA0CNqpwaZn5mqjk.jpg","Action, Fantasy, Horror, Thriller, War",NA,NA
"470",405882,"Don't Kill It","Don't Kill It","en","Demon hunter, Jebediah Huntley teams up with an FBI agent to battle a supernatural force in the southern state of Mississippi.",NA,2016-08-27,"/iQey3UeqU4uQzr82GQJ1pZMwe40.jpg",35.33,175,6.1,3500000,0,93,"Released",FALSE,"/9KuWUHLVYRrfC1Cm8gw89hgx9fA.jpg","Fantasy, Horror",NA,NA
"471",9728,"Friday the 13th Part III","Friday the 13th Part III","en","An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naive counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason who stalks them at every turn.","A new dimension in terror...",1982-08-13,"/mYkbmw6umfbvPYBwkcOJsKbTCQ1.jpg",35.313,1062,5.8,4e+06,36690067,95,"Released",FALSE,"/6aVEjUqRfC4Oa88dxd4qw56KKzO.jpg","Horror",9735,"Friday the 13th Collection"
"472",575774,"His House","His House","en","After making a harrowing escape from war-torn South Sudan, a young refugee couple struggle to adjust to their new life in a small English town that has an unspeakable evil lurking beneath the surface.","When ghosts follow, they never leave.",2020-01-27,"/s6XxJEe4ovVTMgmGmKeO87OFANU.jpg",35.311,839,6.5,0,0,93,"Released",FALSE,"/6aVB2B2GDc4EuNinHgoBgtkuHQz.jpg","Drama, Horror, Thriller",NA,NA
"473",819876,"Crimes of the Future","Crimes of the Future","en","Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.","Surgery is the new sex.",2022-05-25,"/nWyoiaHAcPouRKKGgZa32p6Txkb.jpg",35.226,480,6.4,0,4400000,108,"Released",FALSE,"/sqdsuvy8X6Maila4IAc7deMtPAA.jpg","Drama, Horror, Science Fiction",NA,NA
"474",9100,"The Craft","The Craft","en","A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents.","Welcome to the witching hour.",1996-05-03,"/8UCScpzQbeJcSkY7ZgRpblYh0lP.jpg",35.18,1497,6.7,1.5e+07,24819936,101,"Released",FALSE,"/jrhh1H6tK99M4FdM9joAn9e0BHR.jpg","Drama, Fantasy, Horror",758369,"The Craft Collection"
"475",12594,"Wishmaster 2: Evil Never Dies","Wishmaster 2: Evil Never Dies","en","During a failed art heist, the Djinn is once again liberated. This time, to complete the 1001 wishes that he needs before the final 3, he lets himself go to prison, where he starts his evil reign twisting the hopes of the prisoners. Meanwhile, the woman who set him free accidentally, Morgana, tries to find a way to stop him, aided by a young priest.","Evil Has Been Summonned...Again!",1999-03-12,"/g3FXNYaCDFoQILCbYqFdv6V01ep.jpg",35.088,196,5.5,2500000,0,96,"Released",FALSE,"/8J5XaKWh9Tvjr8K9vYzqPv0aVLh.jpg","Fantasy, Horror",135489,"Wishmaster Collection"
